auth,pub,start,end,country,type,num_tot,fem_tot,fam_tot,multi_tot,age_mean,age_med,num_anr_tot,psah_tot,smoke_tot,fu_mean_tot,fu_med_tot,size,num,num_anr,psah,fu,rupt,rupt_psah,rupt_fatal,nos_select,nos_compare,nos_outcome,nos_total
Mizoi ,1995,1984,1993,Japan ,retrospective,49,,,,,60,67,5,,51.6,,5,15,21,,,0,0,0,4,2,3,9
Mizoi ,1995,1984,1993,Japan ,retrospective,49,,,,,60,67,5,,51.6,,7,15,21,,,0,0,0,4,2,3,9
Mizoi ,1995,1984,1993,Japan ,retrospective,49,,,,,60,67,5,,51.6,,10,15,21,,,0,0,0,4,2,3,9
Morita,2012,2001,2004,Japan,prospective,2998,1994,342,824,65,,3647,99,453,20,,3,,,,,,,,4,2,2,8
Morita,2012,2001,2004,Japan,prospective,2998,1994,342,824,65,,3647,99,453,20,,5,,2000,,,23,,,4,2,2,8
Morita,2012,2001,2004,Japan,prospective,2998,1994,342,824,65,,3647,99,453,20,,7,,2861,,,37,,,4,2,2,8
Morita,2012,2001,2004,Japan,prospective,2998,1994,342,824,65,,3647,99,453,20,,10,,3323,,,62,,,4,2,2,8
Murayama,2016,2003,2012,Japan,prospective,1556,1060,205,707,66,,1960,44,503,45.23,,3,,,,,,,,4,2,2,8
Murayama,2016,2003,2012,Japan,prospective,1556,1060,205,707,66,,1960,44,503,45.23,,5,,1717,,,22,,4,4,2,2,8
Murayama,2016,2003,2012,Japan,prospective,1556,1060,205,707,66,,1960,44,503,45.23,,7,,1886,,,39,,,4,2,2,8
Murayama,2016,2003,2012,Japan,prospective,1556,1060,205,707,66,,1960,44,503,45.23,,10,,1921,,,43,,,4,2,2,8
Oh,2013,2007,2008,Korea,retrospective,19,13,,0,72.2,,19,0,7,24,,3,,3,0,,0,0,0,1,0,2,3
Oh,2013,2007,2008,Korea,retrospective,19,13,,0,72.2,,19,0,7,24,,5,13,13,,,0,0,0,1,0,2,3
Oh,2013,2007,2008,Korea,retrospective,19,13,,0,72.2,,19,0,7,24,,7,14,14,,,0,0,0,1,0,2,3
Oh,2013,2007,2008,Korea,retrospective,19,13,,0,72.2,,19,0,7,24,,10,19,19,,,0,0,0,1,0,2,3
Serrone,2016,2001,2012,United States,retrospective,192,152,20,73,61.1,,234,2,115,38.4,,3,,48,,,0,0,0,4,2,2,8
Serrone,2016,2001,2012,United States,retrospective,192,152,20,73,61.1,,234,2,115,38.4,,5,,48,,,0,0,0,4,2,2,8
Serrone,2016,2001,2012,United States,retrospective,192,152,20,73,61.1,,234,2,115,38.4,,7,,194,,,0,0,0,4,2,2,8
Serrone,2016,2001,2012,United States,retrospective,192,152,20,73,61.1,,234,2,115,38.4,,10,,194,,,1,0,0,4,2,2,8
So,2010,1997,2006,Australia,retrospective,208,154,5,58,51.1,,285,63,61,21.8,,3,,61,,,1,,,4,2,2,8
So,2010,1997,2006,Australia,retrospective,208,154,5,58,51.1,,285,63,61,21.8,,5,,213,,,1,,,4,2,2,8
So,2010,1997,2006,Australia,retrospective,208,154,5,58,51.1,,285,63,61,21.8,,7,,213,,,1,,,4,2,2,8
So,2010,1997,2006,Australia,retrospective,208,154,5,58,51.1,,285,63,61,21.8,,10,,262,,,3,,,4,2,2,8
Sonobe,2010,2000,2004,Japan,prospective,374,238,31,124,61.9,62,448,36,32,41,,3,,124,,,2,,,4,2,2,8
Sonobe,2010,2000,2004,Japan,prospective,374,238,31,124,61.9,62,448,36,32,41,,5,374,448,36,41,7,1,,4,2,2,8
Sonobe,2010,2000,2004,Japan,prospective,374,238,31,124,61.9,62,448,36,32,41,,7,374,448,36,41,7,1,,4,2,2,8
Sonobe,2010,2000,2004,Japan,prospective,374,238,31,124,61.9,62,448,36,32,41,,10,374,448,36,41,7,1,,4,2,2,8
Teo,2016,,,United Kingdom,retrospective,94,74,,,53,,152,30,48,40.8,,3,,,,,,,,4,2,1,7
Teo,2016,,,United Kingdom,retrospective,94,74,,,53,,152,30,48,40.8,,5,,,,,,,,4,2,1,7
Teo,2016,,,United Kingdom,retrospective,94,74,,,53,,152,30,48,40.8,,7,,126,42,,3,0,1,4,2,1,7
Teo,2016,,,United Kingdom,retrospective,94,74,,,53,,152,30,48,40.8,,10,,126,42,,3,0,1,4,2,1,7
Thien,2017,2013,2014,Singapore,retrospective,160,97,,5,72.4,,165,0,,12.2,,3,,,,,,,,1,1,0,2
Thien,2017,2013,2014,Singapore,retrospective,160,97,,5,72.4,,165,0,,12.2,,5,,146,0,,0,0,0,1,1,0,2
Thien,2017,2013,2014,Singapore,retrospective,160,97,,5,72.4,,165,0,,12.2,,7,,146,0,,0,0,0,1,1,0,2
Thien,2017,2013,2014,Singapore,retrospective,160,97,,5,72.4,,165,0,,12.2,,10,,162,0,,1,0,,1,1,0,2
Tsukahara,2005,1999,2001,International,retrospective,181,,,,,,209,38,,,,3,,,,,,,,3,2,0,5
Tsukahara,2005,1999,2001,International,retrospective,181,,,,,,209,38,,,,5,,107,,,2,0,,3,2,0,5
Tsukahara,2005,1999,2001,International,retrospective,181,,,,,,209,38,,,,7,,107,,,2,0,,3,2,0,5
Tsukahara,2005,1999,2001,International,retrospective,181,,,,,,209,38,,,,10,,144,,,5,0,,3,2,0,5
Tsutsumi,2000,1976,1997,Japan,retrospective,62,33,,14,70.8,,83,0,,51.6,,3,,,,,,,,2,1,2,5
Tsutsumi,2000,1976,1997,Japan,retrospective,62,33,,14,70.8,,83,0,,51.6,,5,49,,0,,2,0,,2,1,2,5
Tsutsumi,2000,1976,1997,Japan,retrospective,62,33,,14,70.8,,83,0,,51.6,,7,49,,0,,2,0,,2,1,2,5
Tsutsumi,2000,1976,1997,Japan,retrospective,62,33,,14,70.8,,83,0,,51.6,,10,56,,,,3,0,,2,1,2,5
Villablanca,2013,1999,2009,United States,retrospective,165,132,,50,60.9,,258,,,27,,3,,,,,,,,4,2,1,7
Villablanca,2013,1999,2009,United States,retrospective,165,132,,50,60.9,,258,,,27,,5,,,,,,,,4,2,1,7
Villablanca,2013,1999,2009,United States,retrospective,165,132,,50,60.9,,258,,,27,,7,,193,,,3,,,4,2,1,7
Villablanca,2013,1999,2009,United States,retrospective,165,132,,50,60.9,,258,,,27,,10,,193,,,3,,,4,2,1,7
Wiebers-R,1998,1970,1991,International,retrospective,1449,1052,,364,52.71,,1937,722,791,99.6,,3,,,,,,,,4,2,2,8
Wiebers-R,1998,1970,1991,International,retrospective,1449,1052,,364,52.71,,1937,722,791,99.6,,5,680,,442,,,,,4,2,2,8
Wiebers-R,1998,1970,1991,International,retrospective,1449,1052,,364,52.71,,1937,722,791,99.6,,7,,,,,,,,4,2,2,8
Wiebers-R,1998,1970,1991,International,retrospective,1449,1052,,364,52.71,,1937,722,791,99.6,,10,1065,,641,,18,17,,4,2,2,8
Wiebers-P,2003,1991,1998,International,prospective,1692,1261,276,679,55.2,,2686,615,1295,49.2,,3,,,,,,,,4,2,2,8
Wiebers-P,2003,1991,1998,International,prospective,1692,1261,276,679,55.2,,2686,615,1295,49.2,,5,,,,,,,,4,2,2,8
Wiebers-P,2003,1991,1998,International,prospective,1692,1261,276,679,55.2,,2686,615,1295,49.2,,7,1028,1049,,,9,7,,4,2,2,8
Wiebers-P,2003,1991,1998,International,prospective,1692,1261,276,679,55.2,,2686,615,1295,49.2,,10,,,,,15,8,,4,2,2,8
Wilkinson,2018,2000,2016,United States,retrospective,17,,3,,52,,22,2,8,,63.6,3,,18,,,0,0,0,0,2,1,3
Wilkinson,2018,2000,2016,United States,retrospective,17,,3,,52,,22,2,8,,63.6,5,,19,,,0,0,0,0,2,1,3
Wilkinson,2018,2000,2016,United States,retrospective,17,,3,,52,,22,2,8,,63.6,7,,20,,,0,0,0,0,2,1,3
Wilkinson,2018,2000,2016,United States,retrospective,17,,3,,52,,22,2,8,,63.6,10,17,22,3,63.6,0,0,0,0,2,1,3
Zylkowski,2015,2006,2013,Poland,retrospective,70,55,1,,57.8,,110,22,10,35.9,,3,,29,,,0,0,0,4,2,1,7
Zylkowski,2015,2006,2013,Poland,retrospective,70,55,1,,57.8,,110,22,10,35.9,,5,,92,,,2,1,,4,2,1,7
Zylkowski,2015,2006,2013,Poland,retrospective,70,55,1,,57.8,,110,22,10,35.9,,7,70,110,22,35.9,3,1,,4,2,1,7
Zylkowski,2015,2006,2013,Poland,retrospective,70,55,1,,57.8,,110,22,10,35.9,,10,70,110,22,35.9,3,1,,4,2,1,7
